Year,Species,Wing,Weight,Tail,Hallux,Coopers?,Red-tailed?,Sharp-shinned?
1992,RT,385.0,920.0,219,30.1,0,1,0
1992,RT,381.0,990.0,235,31.3,0,1,0
1992,CH,265.0,470.0,220,23.5,1,0,0
1992,RT,370.0,960.0,212,30.1,0,1,0
1992,RT,405.0,1120.0,238,30.2,0,1,0
1992,RT,393.0,1010.0,222,30.8,0,1,0
1992,RT,436.0,1390.0,232,34.0,0,1,0
1992,RT,418.0,1150.0,238,31.0,0,1,0
1992,RT,378.0,910.0,227,28.2,0,1,0
1992,RT,396.0,1010.0,227,26.9,0,1,0
1992,RT,399.0,1070.0,222,31.2,0,1,0
1992,RT,416.0,1190.0,237,31.6,0,1,0
1992,RT,415.0,101.0,238,30.7,0,1,0
1992,RT,380.0,990.0,211,30.0,0,1,0
1992,RT,401.0,1190.0,245,31.6,0,1,0
1992,SS,205.0,180.0,164,15.0,0,0,1
1992,RT,395.0,1040.0,207,31.4,0,1,0
1992,RT,396.0,1030.0,200,29.7,0,1,0
1992,RT,391.0,1300.0,215,32.4,0,1,0
1992,RT,413.0,1500.0,219,31.3,0,1,0
1992,RT,371.0,1080.0,198,27.2,0,1,0
1993,SS,193.0,100.0,144,101.0,0,0,1
1993,CH,233.0,324.0,191,19.3,1,0,0
1993,RT,384.0,1060.0,230,31.2,0,1,0
1993,RT,390.0,1030.0,208,30.3,0,1,0
1993,RT,393.0,1050.0,222,29.8,0,1,0
1993,RT,378.0,1040.0,225,31.2,0,1,0
1993,RT,410.0,1255.0,229,31.4,0,1,0
1993,RT,241.0,1320.0,235,36.4,0,1,0
1993,RT,380.0,760.0,212,26.1,0,1,0
1993,RT,416.0,1300.0,235,32.7,0,1,0
1993,SS,176.0,100.0,133,11.1,0,0,1
1993,RT,390.0,1080.0,209,29.1,0,1,0
1993,RT,391.0,1130.0,212,29.4,0,1,0
1993,RT,420.0,1345.0,250,34.3,0,1,0
1993,RT,400.0,1210.0,222,28.6,0,1,0
1993,RT,398.0,1455.0,236,31.5,0,1,0
1994,RT,369.0,1025.0,228,31.5,0,1,0
1994,RT,372.0,930.0,220,31.1,0,1,0
1994,RT,412.0,1255.0,236,32.6,0,1,0
1994,SS,205.0,194.0,155,14.4,0,0,1
1994,SS,204.0,159.0,152,14.8,0,0,1
1994,SS,170.0,90.0,135,11.3,0,0,1
1994,CH,233.0,340.0,186,19.4,1,0,0
1994,RT,375.0,1065.0,216,30.0,0,1,0
1994,RT,385.0,1125.0,233,31.4,0,1,0
1994,RT,422.0,1340.0,248,32.0,0,1,0
1994,RT,385.0,980.0,223,27.8,0,1,0
1994,RT,381.0,1000.0,219,29.8,0,1,0
1994,RT,416.0,1390.0,225,31.3,0,1,0
1994,RT,412.0,1210.0,222,33.8,0,1,0
1994,SS,208.0,168.0,155,14.8,0,0,1
1994,SS,175.0,108.0,137,11.5,0,0,1
1994,SS,166.0,94.0,127,11.3,0,0,1
1994,RT,405.0,1085.0,238,29.9,0,1,0
1994,SS,200.0,154.0,150,14.4,0,0,1
1994,RT,381.0,905.0,227,29.1,0,1,0
1994,SS,169.0,94.0,129,10.2,0,0,1
1994,CH,260.0,420.0,220,23.9,1,0,0
1994,RT,428.0,1240.0,245,34.7,0,1,0
1994,CH,265.0,365.0,224,22.5,1,0,0
1994,RT,382.0,860.0,219,29.0,0,1,0
1994,RT,382.0,970.0,216,29.0,0,1,0
1994,RT,380.0,985.0,223,29.0,0,1,0
1994,RT,375.0,990.0,220,30.6,0,1,0
1994,RT,420.0,1210.0,241,32.6,0,1,0
1994,RT,395.0,1170.0,238,31.7,0,1,0
1994,SS,170.0,93.0,126,11.2,0,0,1
1994,SS,173.0,103.0,137,19.4,0,0,1
1994,RT,423.0,1310.0,234,34.1,0,1,0
1994,RT,391.0,1125.0,220,30.9,0,1,0
1994,SS,179.0,95.0,133,11.6,0,0,1
1994,SS,172.0,89.0,136,10.8,0,0,1
1994,SS,202.0,195.0,151,14.1,0,0,1
1994,RT,422.0,1205.0,238,31.3,0,1,0
1994,RT,450.0,1190.0,226,32.8,0,1,0
1994,RT,385.0,955.0,215,30.1,0,1,0
1994,RT,385.0,1110.0,122,30.2,0,1,0
1994,SS,171.0,100.0,134,11.5,0,0,1
1994,RT,380.0,900.0,215,26.5,0,1,0
1994,RT,409.0,1120.0,229,31.6,0,1,0
1994,SS,204.0,168.0,155,14.3,0,0,1
1994,RT,420.0,1125.0,244,27.4,0,1,0
1994,RT,408.0,1360.0,239,33.9,0,1,0
1994,RT,398.0,1095.0,209,31.4,0,1,0
1994,SS,209.0,196.0,164,14.6,0,0,1
1994,SS,209.0,176.0,159,15.1,0,0,1
1994,SS,204.0,180.0,160,15.2,0,0,1
1994,RT,394.0,1140.0,216,29.2,0,1,0
1994,RT,416.0,1240.0,250,31.8,0,1,0
1994,RT,445.0,1465.0,260,34.6,0,1,0
1994,RT,388.0,1105.0,217,28.9,0,1,0
1994,RT,397.0,1010.0,228,31.4,0,1,0
1994,RT,384.0,1075.0,218,30.5,0,1,0
1994,RT,379.0,1060.0,220,30.9,0,1,0
1994,RT,393.0,1015.0,227,31.1,0,1,0
1994,RT,397.0,1010.0,222,30.6,0,1,0
1994,RT,417.0,1240.0,231,32.4,0,1,0
1994,RT,403.0,1360.0,235,33.1,0,1,0
1994,CH,239.0,183.0,182,19.2,1,0,0
1994,RT,401.0,1405.0,235,82.8,0,1,0
1994,RT,432.0,1670.0,216,32.9,0,1,0
1994,RT,403.0,1040.0,229,29.9,0,1,0
1994,SS,172.0,105.0,125,10.8,0,0,1
1994,RT,390.0,1090.0,226,28.8,0,1,0
1994,SS,204.0,190.0,154,13.9,0,0,1
1994,RT,358.0,880.0,250,28.7,0,1,0
1994,RT,390.0,920.0,214,30.0,0,1,0
1995,RT,360.0,890.0,213,28.4,0,1,0
1995,RT,375.0,1110.0,224,31.5,0,1,0
1995,SS,200.0,160.0,153,13.2,0,0,1
1995,SS,179.0,105.0,131,11.3,0,0,1
1995,SS,205.0,100.0,168,12.5,0,0,1
1995,SS,213.0,125.0,156,14.4,0,0,1
1995,RT,409.0,1100.0,215,32.6,0,1,0
1995,CH,236.0,390.0,185,20.4,1,0,0
1995,RT,363.0,920.0,214,30.2,0,1,0
1995,RT,381.0,1025.0,232,30.8,0,1,0
1995,RT,350.0,940.0,205,29.1,0,1,0
1995,SS,203.0,150.0,159,13.9,0,0,1
1995,SS,201.0,130.0,156,14.4,0,0,1
1995,RT,373.0,930.0,210,27.4,0,1,0
1995,RT,415.0,1240.0,231,31.2,0,1,0
1995,RT,383.0,1030.0,216,29.8,0,1,0
1995,CH,223.0,550.0,210,21.3,1,0,0
1995,RT,390.0,999.0,220,29.8,0,1,0
1995,RT,345.0,1000.0,200,30.1,0,1,0
1995,RT,400.0,1040.0,230,32.1,0,1,0
1995,RT,330.0,1000.0,220,30.2,0,1,0
1995,RT,313.0,930.0,215,28.9,0,1,0
1995,RT,384.0,980.0,215,30.4,0,1,0
1995,RT,409.0,1260.0,221,31.8,0,1,0
1995,RT,411.0,1300.0,238,31.9,0,1,0
1995,RT,380.0,1040.0,212,30.9,0,1,0
1995,RT,415.0,1320.0,235,33.9,0,1,0
1995,SS,215.0,180.0,132,12.7,0,0,1
1995,RT,384.0,910.0,215,28.4,0,1,0
1995,RT,375.0,920.0,210,28.8,0,1,0
1995,RT,410.0,1135.0,267,32.4,0,1,0
1995,RT,385.0,920.0,238,32.2,0,1,0
1995,RT,398.0,1280.0,248,32.4,0,1,0
1995,RT,401.0,1000.0,212,28.0,0,1,0
1995,SS,171.0,90.0,138,11.9,0,0,1
1995,RT,385.0,985.0,223,30.8,0,1,0
1995,RT,405.0,1350.0,226,32.6,0,1,0
1995,RT,350.0,730.0,208,25.7,0,1,0
1995,RT,388.0,890.0,231,31.2,0,1,0
1995,SS,202.0,150.0,153,14.1,0,0,1
1995,RT,382.0,1020.0,225,29.4,0,1,0
1995,RT,111.0,1340.0,226,31.9,0,1,0
1996,RT,360.0,900.0,220,28.8,0,1,0
1996,SS,195.0,150.0,178,14.6,0,0,1
1996,RT,390.0,1050.0,220,32.5,0,1,0
1996,CH,247.0,375.0,160,18.2,1,0,0
1996,RT,379.0,1050.0,226,31.3,0,1,0
1996,RT,372.0,920.0,228,30.0,0,1,0
1996,RT,368.0,1060.0,223,26.9,0,1,0
1996,RT,406.0,1420.0,245,32.0,0,1,0
1996,CH,225.0,400.0,202,20.0,1,0,0
1997,SS,161.0,98.0,133,11.7,0,0,1
1997,SS,191.0,155.0,158,14.4,0,0,1
1997,SS,198.0,181.0,159,14.1,0,0,1
1997,RT,352.0,1024.0,216,30.3,0,1,0
1997,SS,163.0,100.0,137,11.2,0,0,1
1997,SS,193.0,186.0,155,14.0,0,0,1
1997,SS,190.0,164.0,155,14.5,0,0,1
1997,SS,198.0,158.0,154,14.5,0,0,1
1997,RT,370.0,1023.0,216,30.1,0,1,0
1997,SS,157.0,92.0,132,14.7,0,0,1
1997,RT,364.0,917.0,216,29.6,0,1,0
1997,RT,367.0,946.0,221,28.9,0,1,0
1997,SS,165.0,92.0,135,14.6,0,0,1
1997,SS,370.0,1094.0,221,11.5,0,0,1
1997,RT,368.0,1244.0,220,30.2,0,1,0
1997,RT,367.0,974.0,221,29.6,0,1,0
1997,RT,362.0,1004.0,221,31.4,0,1,0
1997,RT,372.0,1092.0,235,31.8,0,1,0
1997,RT,369.0,1049.0,231,32.0,0,1,0
1997,RT,367.0,1091.0,238,34.2,0,1,0
1997,RT,375.0,1151.0,249,33.7,0,1,0
1997,RT,343.0,971.0,213,26.1,0,1,0
1997,RT,360.0,1159.0,240,34.0,0,1,0
1997,RT,395.0,1239.0,231,33.2,0,1,0
1997,RT,365.0,1079.0,228,30.0,0,1,0
1997,SS,168.0,175.0,158,14.0,0,0,1
1997,RT,478.0,1473.0,267,44.7,0,1,0
1997,RT,374.0,1064.0,201,32.1,0,1,0
1997,SS,202.0,201.0,165,14.9,0,0,1
1997,RT,389.0,1200.0,230,30.8,0,1,0
1998,RT,403.0,1487.0,240,32.5,0,1,0
1998,RT,400.0,1254.0,237,30.0,0,1,0
1998,SS,205.0,156.0,144,14.1,0,0,1
1998,RT,405.0,1189.0,210,31.3,0,1,0
1998,RT,382.0,979.0,225,27.9,0,1,0
1998,SS,165.0,96.0,125,11.4,0,0,1
1998,RT,407.0,1339.0,246,33.4,0,1,0
1998,RT,403.0,1199.0,225,31.0,0,1,0
1998,RT,381.0,969.0,220,31.1,0,1,0
1998,RT,395.0,1039.0,230,29.7,0,1,0
1998,RT,402.0,985.0,234,29.8,0,1,0
1998,RT,412.0,992.0,230,31.5,0,1,0
1998,RT,381.0,1354.0,213,32.0,0,1,0
1998,RT,382.0,1080.0,214,31.0,0,1,0
1998,RT,376.0,1019.0,216,29.5,0,1,0
1998,RT,410.0,1239.0,222,31.8,0,1,0
1998,RT,396.0,1169.0,238,25.2,0,1,0
1998,RT,383.0,1164.0,199,29.9,0,1,0
1998,SS,203.0,176.0,161,14.7,0,0,1
1999,CH,255.0,429.0,208,22.9,1,0,0
1999,SS,163.0,100.0,128,11.6,0,0,1
1999,RT,395.0,1215.0,236,33.0,0,1,0
1999,RT,370.0,1030.0,225,31.4,0,1,0
1999,CH,225.0,340.0,190,19.4,1,0,0
1999,SS,197.0,165.0,150,9.6,0,0,1
1999,RT,376.0,985.0,223,30.3,0,1,0
1999,RT,372.0,975.0,225,31.6,0,1,0
1999,RT,391.0,1165.0,241,32.4,0,1,0
1999,SS,202.0,180.0,160,15.0,0,0,1
1999,RT,392.0,1105.0,229,33.6,0,1,0
1999,RT,408.0,1270.0,236,33.0,0,1,0
1999,CH,252.0,540.0,185,28.8,1,0,0
1999,CH,237.0,365.0,195,19.9,1,0,0
1999,RT,399.0,1170.0,247,29.9,0,1,0
1999,SS,192.0,170.0,159,15.5,0,0,1
1999,SS,167.0,100.0,132,11.3,0,0,1
1999,RT,370.0,1060.0,225,31.9,0,1,0
1999,RT,386.0,1090.0,226,28.2,0,1,0
1999,CH,254.0,505.0,212,24.0,1,0,0
1999,RT,354.0,965.0,226,28.5,0,1,0
1999,RT,403.0,1105.0,242,33.2,0,1,0
1999,RT,369.0,900.0,220,27.3,0,1,0
1999,RT,393.0,1385.0,225,32.6,0,1,0
1999,RT,364.0,800.0,219,28.6,0,1,0
1999,RT,387.0,995.0,235,31.4,0,1,0
1999,RT,410.0,1460.0,216,33.6,0,1,0
1999,RT,410.0,1585.0,130,39.8,0,1,0
1999,RT,373.0,920.0,223,28.3,0,1,0
1999,RT,404.0,1315.0,220,32.5,0,1,0
1999,RT,375.0,1019.0,186,29.9,0,1,0
1999,RT,382.0,1350.0,215,29.9,0,1,0
1999,SS,205.0,175.0,169,15.5,0,0,1
1999,RT,377.0,1010.0,207,29.0,0,1,0
1999,RT,390.0,1120.0,210,30.0,0,1,0
1999,RT,376.0,1145.0,226,31.55,0,1,0
2000,SS,195.0,145.0,155,14.6,0,0,1
2000,SS,161.0,95.0,135,11.3,0,0,1
2000,RT,390.0,1015.0,230,30.1,0,1,0
2000,RT,376.0,1035.0,223,30.5,0,1,0
2000,SS,160.0,90.0,124,11.8,0,0,1
2000,RT,361.0,785.0,201,28.7,0,1,0
2000,RT,394.0,1220.0,234,34.5,0,1,0
2000,SS,188.0,175.0,154,14.2,0,0,1
2000,SS,190.0,175.0,147,14.6,0,0,1
2000,SS,161.0,90.0,130,11.1,0,0,1
2000,CH,145.0,320.0,180,20.5,1,0,0
2000,CH,230.0,350.0,187,21.3,1,0,0
2000,RT,363.0,950.0,214,30.3,0,1,0
2000,SS,162.0,85.0,132,11.4,0,0,1
2000,RT,412.0,1150.0,230,33.2,0,1,0
2000,RT,388.0,950.0,230,32.2,0,1,0
2000,CH,225.0,325.0,179,18.7,1,0,0
2000,RT,391.0,1120.0,225,33.9,0,1,0
2000,SS,163.0,90.0,123,11.5,0,0,1
2000,RT,368.0,820.0,215,28.7,0,1,0
2000,RT,410.0,1200.0,247,29.4,0,1,0
2000,RT,368.0,1120.0,220,30.8,0,1,0
2000,SS,250.0,470.0,192,25.3,0,0,1
2000,RT,418.0,1310.0,248,31.9,0,1,0
2000,RT,370.0,920.0,221,29.7,0,1,0
2000,SS,203.0,180.0,162,15.6,0,0,1
2000,RT,393.0,1400.0,215,35.3,0,1,0
2000,RT,365.0,1025.0,225,30.1,0,1,0
2000,RT,381.0,1080.0,232,31.6,0,1,0
2000,RT,390.0,1135.0,238,31.1,0,1,0
2000,RT,384.0,1430.0,231,35.0,0,1,0
2000,SS,194.0,175.0,152,14.0,0,0,1
2000,RT,371.0,905.0,197,26.8,0,1,0
2000,RT,362.0,950.0,213,29.7,0,1,0
2000,SS,165.0,105.0,127,11.8,0,0,1
2000,SS,155.0,100.0,122,11.8,0,0,1
2000,RT,400.0,1225.0,222,34.2,0,1,0
2000,SS,161.0,105.0,124,12.0,0,0,1
2000,RT,387.0,1090.0,227,32.4,0,1,0
2000,RT,409.0,1350.0,235,32.7,0,1,0
2000,SS,196.0,200.0,150,15.4,0,0,1
2000,RT,385.0,940.0,228,30.5,0,1,0
2000,RT,400.0,1190.0,231,33.3,0,1,0
2000,RT,375.0,950.0,210,30.1,0,1,0
2000,RT,373.0,975.0,215,27.9,0,1,0
2000,RT,373.0,990.0,217,31.0,0,1,0
2000,RT,373.0,1270.0,207,29.6,0,1,0
2000,RT,354.0,960.0,211,31.0,0,1,0
2000,RT,394.0,1290.0,225,30.7,0,1,0
2000,SS,165.0,95.0,131,11.6,0,0,1
2000,RT,377.0,1045.0,223,31.5,0,1,0
2000,RT,390.0,1195.0,235,34.7,0,1,0
2000,RT,365.0,1025.0,216,30.3,0,1,0
2000,SS,201.0,175.0,157,14.8,0,0,1
2000,RT,402.0,1335.0,219,33.3,0,1,0
2000,CH,223.0,375.0,185,20.7,1,0,0
2000,RT,378.0,1090.0,212,30.9,0,1,0
2000,RT,369.0,995.0,211,28.2,0,1,0
2000,SS,165.0,100.0,137,12.1,0,0,1
2000,RT,393.0,1060.0,217,32.4,0,1,0
2000,RT,389.0,1135.0,207,32.1,0,1,0
2000,RT,395.0,1210.0,222,28.5,0,1,0
2000,RT,367.0,965.0,217,24.1,0,1,0
2000,RT,368.0,905.0,200,27.0,0,1,0
2001,SS,164.0,95.0,136,130.0,0,0,1
2001,RT,378.0,995.0,213,30.0,0,1,0
2001,SS,200.0,165.0,154,14.2,0,0,1
2001,RT,405.0,1170.0,226,39.8,0,1,0
2001,SS,190.0,175.0,160,15.2,0,0,1
2001,SS,168.0,95.0,137,11.4,0,0,1
2001,SS,201.0,165.0,165,14.8,0,0,1
2001,RT,395.0,1115.0,235,32.7,0,1,0
2001,RT,390.0,1195.0,222,33.0,0,1,0
2001,SS,161.0,100.0,129,11.9,0,0,1
2001,SS,156.0,90.0,135,11.3,0,0,1
2001,SS,199.0,155.0,160,14.5,0,0,1
2001,CH,320.0,229.0,195,21.0,1,0,0
2001,CH,230.0,340.0,198,20.2,1,0,0
2001,SS,164.0,105.0,132,11.2,0,0,1
2001,RT,385.0,1085.0,216,30.8,0,1,0
2001,RT,369.0,970.0,207,30.4,0,1,0
2001,RT,378.0,1030.0,218,31.9,0,1,0
2001,RT,414.0,1215.0,242,29.2,0,1,0
2001,SS,203.0,185.0,157,14.2,0,0,1
2001,SS,162.0,95.0,119,11.0,0,0,1
2001,SS,165.0,95.0,130,11.0,0,0,1
2001,SS,161.0,110.0,130,11.8,0,0,1
2001,SS,199.0,175.0,159,14.5,0,0,1
2001,SS,213.0,190.0,159,15.2,0,0,1
2001,RT,379.0,1435.0,221,32.7,0,1,0
2001,SS,167.0,105.0,131,10.8,0,0,1
2001,CH,258.0,490.0,214,24.2,1,0,0
2001,RT,370.0,845.0,217,27.4,0,1,0
2001,SS,202.0,175.0,162,14.9,0,0,1
2001,RT,389.0,1265.0,210,30.6,0,1,0
2001,RT,404.0,1300.0,224,32.8,0,1,0
2001,SS,203.0,191.0,161,15.5,0,0,1
2001,SS,199.0,185.0,157,14.9,0,0,1
2001,SS,168.0,95.0,133,12.1,0,0,1
2001,RT,395.0,1170.0,218,30.5,0,1,0
2001,RT,368.0,1075.0,213,31.7,0,1,0
2001,SS,210.0,200.0,165,15.3,0,0,1
2001,SS,197.0,160.0,153,14.7,0,0,1
2001,RT,435.0,1595.0,230,34.5,0,1,0
2002,CH,260.0,565.0,216,24.2,1,0,0
2002,RT,390.0,240.0,218,29.3,0,1,0
2002,RT,359.0,875.0,215,31.1,0,1,0
2002,RT,393.0,1225.0,226,33.4,0,1,0
2002,RT,402.0,1255.0,242,34.6,0,1,0
2002,CH,227.0,330.0,193,18.5,1,0,0
2002,RT,362.0,1305.0,234,34.3,0,1,0
2002,RT,375.0,975.0,220,31.8,0,1,0
2002,RT,388.0,1185.0,225,34.3,0,1,0
2002,RT,392.0,1030.0,214,30.5,0,1,0
2002,RT,371.0,1075.0,220,32.8,0,1,0
2002,CH,255.0,960.0,200,42.8,1,0,0
2002,RT,391.0,795.0,209,27.6,0,1,0
2002,SS,190.0,180.0,156,14.2,0,0,1
2002,RT,385.0,1225.0,225,32.0,0,1,0
2002,SS,190.0,170.0,154,15.0,0,0,1
2002,RT,400.0,1315.0,230,34.0,0,1,0
2002,SS,194.0,155.0,156,14.5,0,0,1
2002,RT,386.0,955.0,226,30.4,0,1,0
2002,SS,193.0,190.0,145,14.9,0,0,1
2002,SS,203.0,180.0,156,14.7,0,0,1
2002,SS,159.0,90.0,130,11.5,0,0,1
2002,SS,163.0,100.0,130,11.7,0,0,1
2002,RT,361.0,1030.0,231,30.5,0,1,0
2002,RT,361.0,910.0,205,27.5,0,1,0
2002,RT,375.0,1005.0,226,32.5,0,1,0
2002,SS,196.0,175.0,153,15.6,0,0,1
2002,SS,159.0,105.0,131,11.0,0,0,1
2002,RT,401.0,1250.0,230,35.3,0,1,0
2002,SS,198.0,185.0,165,15.2,0,0,1
2002,SS,162.0,105.0,132,12.5,0,0,1
2002,SS,168.0,100.0,135,10.7,0,0,1
2002,RT,375.0,1030.0,217,31.3,0,1,0
2002,RT,406.0,1290.0,227,33.3,0,1,0
2002,RT,386.0,1020.0,230,31.6,0,1,0
2002,SS,160.0,105.0,136,11.4,0,0,1
2002,RT,364.0,1015.0,215,29.5,0,1,0
2002,RT,350.0,1115.0,199,30.3,0,1,0
2002,RT,380.0,1320.0,210,31.6,0,1,0
2002,RT,395.0,1180.0,217,33.4,0,1,0
2002,RT,372.0,1145.0,212,32.2,0,1,0
2002,RT,376.0,995.0,223,30.2,0,1,0
2002,CH,230.0,340.0,196,19.5,1,0,0
2002,RT,366.0,935.0,218,27.1,0,1,0
2002,RT,405.0,1255.0,218,31.8,0,1,0
2002,SS,185.0,170.0,156,14.7,0,0,1
2002,RT,396.0,1065.0,230,30.0,0,1,0
2002,RT,372.0,980.0,215,29.0,0,1,0
2002,RT,391.0,1330.0,217,30.1,0,1,0
2002,SS,193.0,185.0,158,14.9,0,0,1
2003,RT,365.0,970.0,208,31.6,0,1,0
2003,SS,195.0,175.0,152,15.6,0,0,1
2003,SS,200.0,165.0,163,14.5,0,0,1
2003,RT,384.0,1260.0,226,32.5,0,1,0
2003,SS,159.0,110.0,125,11.1,0,0,1
2003,SS,161.0,100.0,134,11.5,0,0,1
2003,SS,191.0,190.0,162,14.8,0,0,1
2003,SS,161.0,90.0,123,11.3,0,0,1
2003,RT,396.0,1195.0,228,23.8,0,1,0
2003,SS,183.0,160.0,143,14.6,0,0,1
2003,RT,393.0,1155.0,223,30.9,0,1,0
2003,RT,397.0,1260.0,232,32.9,0,1,0
2003,SS,196.0,160.0,158,14.5,0,0,1
2003,CH,225.0,300.0,183,20.1,1,0,0
2003,SS,161.0,95.0,131,11.5,0,0,1
2003,CH,230.0,330.0,188,19.4,1,0,0
2003,SS,159.0,95.0,132,11.2,0,0,1
2003,SS,191.0,165.0,156,14.9,0,0,1
2003,SS,168.0,100.0,134,11.9,0,0,1
2003,RT,428.0,1290.0,253,33.9,0,1,0
2003,CH,252.0,470.0,211,28.4,1,0,0
2003,SS,195.0,195.0,158,14.0,0,0,1
2003,CH,233.0,335.0,187,21.3,1,0,0
2003,RT,364.0,1150.0,196,28.2,0,1,0
2003,RT,375.0,925.0,220,28.6,0,1,0
2003,RT,385.0,1040.0,238,31.5,0,1,0
2003,SS,156.0,100.0,122,11.2,0,0,1
2003,CH,230.0,335.0,201,19.7,1,0,0
2003,RT,360.0,935.0,212,30.0,0,1,0
2003,RT,372.0,1010.0,197,29.0,0,1,0
2003,RT,385.0,1370.0,233,29.2,0,1,0
2003,SS,162.0,100.0,136,11.4,0,0,1
2003,RT,392.0,1250.0,222,32.9,0,1,0
2003,RT,372.0,915.0,203,28.2,0,1,0
2003,SS,161.0,95.0,129,11.7,0,0,1
2003,RT,380.0,1005.0,205,31.6,0,1,0
2003,SS,161.0,95.0,121,12.4,0,0,1
2003,RT,400.0,1585.0,241,33.8,0,1,0
2003,RT,371.0,1115.0,208,29.2,0,1,0
2003,SS,195.0,165.0,153,14.5,0,0,1
2003,CH,220.0,320.0,184,19.5,1,0,0
2003,RT,365.0,990.0,217,30.0,0,1,0
2003,RT,387.0,1065.0,212,32.7,0,1,0
2003,RT,400.0,1050.0,237,29.7,0,1,0
2003,RT,362.0,840.0,206,26.1,0,1,0
2003,SS,190.0,200.0,157,15.0,0,0,1
2003,SS,197.0,185.0,157,15.6,0,0,1
2003,RT,360.0,1325.0,224,30.6,0,1,0
2003,RT,369.0,860.0,207,28.0,0,1,0
